会社名,倍
ＬＩＮＫ株式会社,東京都中央区日本橋人形町
ベネリックデジタルエンターテインメント株式会社,東京都千代田区神田駿河台２丁目
株式会社ＤＴＧ,東京都中央区晴海１丁目
ＮＹＨＡＫ　Ｔｒａｄｉｎｇ合同会社,東京都港区南青山２丁目
一般財団法人ロートこどもみらい財団,東京都港区海岸１丁目
株式会社Ｊｅｔｔｙ　Ｐｒｏｄｕｃｔｉｏｎ,東京都品川区東品川４丁目
グリービズ株式会社,東京都品川区西五反田６丁目
一般財団法人こんどＢ,東京都大田区萩中２丁目
日本ＡＤＩＧＩ株式会社,東京都新宿区百人町
キッコージン合同会社,東京都新宿区新宿２丁目
Ｌｏｕｖｒｅ合同会社,東京都板橋区板橋３丁目
ヘムライフ株式会社,東京都北区浮間１丁目
株式会社ａｇａｉｎ,東京都北区滝野川４丁目
株式会社チアワークス,東京都豊島区上池袋２丁目
一般社団法人起業家支援協会,東京都豊島区池袋３丁目
株式会社龍興,神奈川県横浜市中区蓬莱町
株式会社ＡＳＯ,神奈川県川崎市中原区中丸子１３
Ｖｙｖｉａｌ　Ｓｕｚｕｋｉ　Ｓｔｕｄｉｏ合同会社,神奈川県横浜市中区本牧間門１６
一般社団法人あおば共育研究会,神奈川県川崎市麻生区上麻生２丁目
合同会社ＲＯＢＯＴ．ＩＣＨＩＢＡ,神奈川県相模原市緑区大山町
